,Unnamed: 0,label,tweet,tokens,stem,lemmas,text
10,20,0.0,A boy donated blood to his gf !\n\nTwo months later they broke up ?\n\nBoy- mujhe mera khoon lauta de !! \n\nGirl- (throw\xe2\x80\xa6 https://t.co/0Ik5oBqSDb,"['a', 'boy', 'donated', 'blood', 'to', 'his', 'gf', 'nntwo', 'months', 'later', 'they', 'broke', 'up', 'nnboy', 'mujhe', 'mera', 'khoon', 'lauta', 'de', 'nngirl', 'throwxe2x80xa6', 'url']",a boy don blood to his gf nntwo month lat they brok up nnboy mujh mer khoon laut de nngirl throwxe2x80xa6 url,a boy donate blood to his gf nntwo months later they break up nnboy mujhe mera khoon lauta de nngirl throwxe2x80xa6 url,"a boy donate blood to his gf nntwo months later they break up nnboy mujhe mera khoon lauta de nngirl throwxe2x80xa6 url
"
11,22,2.0,@SHARIQSAM @imjadeja @RoflGandhi_ Bc madarchod South Africa England main @imjadeja Man of the match award le chuke\xe2\x80\xa6 https://t.co/hGTCrbEDPB,"['user', 'user', 'user', 'bc', 'madarchod', 'south', 'africa', 'england', 'main', 'user', 'man', 'of', 'the', 'match', 'award', 'le', 'chukexe2x80xa6', 'url']",us us us bc madarchod sou afric england main us man of the match award le chukexe2x80xa6 url,user user user bc madarchod south africa england main user man of the match award le chukexe2x80xa6 url,"user user user bc madarchod south africa england main user man of the match award le chukexe2x80xa6 url
"
12,24,2.0,"@INCIndia Madarchod congresi or Bjp dono ki sarkar bani baad me  wade bhul gye"" Rajasthan me hamri City tak singal\xe2\x80\xa6 https://t.co/4LCITdwiVc","['user', 'madarchod', 'congresi', 'or', 'bjp', 'dono', 'ki', 'sarkar', 'bani', 'baad', 'me', 'wade', 'bhul', 'gye', 'rajasthan', 'me', 'hamri', 'city', 'tak', 'singalxe2x80xa6', 'url']",us madarchod congres or bjp dono ki sark ban baad me wad bhul gye rajasth me hamr city tak singalxe2x80xa6 url,user madarchod congresi or bjp dono ki sarkar bani baad me wade bhul gye rajasthan me hamri city tak singalxe2x80xa6 url,"User Madarchod Congress and BJP both made promises, later forgotten the promise to Hamari City in Rajasthan
"
13,26,2.0,Madarchod socialify wale log \xf0\x9f\x98\xa1,"['madarchod', 'socialify', 'wale', 'log', 'xf0x9fx98xa1']",madarchod social wal log xf0x9fx98xa1,madarchod socialify wale log xf0x9fx98xa1,"madarchod socialify wale log xf0x9fx98xa1
"
14,28,2.0,@abdullah_lagh @MehrTarar Madarchod kya hai yeh,"['user', 'user', 'madarchod', 'kya', 'hai', 'yeh']",us us madarchod kya hai yeh,user user madarchod kya hai yeh,"What is this user user madar chod
"
15,30,2.0,"@Acutereply @updatingwait [12/12, 13:23] : SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD\n[12/12,\xe2\x80\xa6 https://t.co/YgvC2u0qYK","['user', 'user', 'one thousand, two hundred and twelve', 'one thousand, three hundred and twenty-three', 'sunny', 'leone', 'bana', 'ke', 'chodegenteri', 'maa', 'konsamjh', 'me', 'aaya', 'nmadarchodn1212xe2x80xa6', 'url']","us us one thousand, two hundred and twelv one thousand, three hundred and twenty-thr sunny leon ban ke chodegenter maa konsamjh me aay nmadarchodn1212xe2x80xa6 url","user user one thousand, two hundred and twelve one thousand, three hundred and twenty-three sunny leone bana ke chodegenteri maa konsamjh me aaya nmadarchodn1212xe2x80xa6 url","user user one thousand, two hundred and twelve one thousand, three hundred and twenty-three sunny leone bana ke chodegenteri maa konsamjh me aaya nmadarchodn1212xe2x80xa6 url
"
16,32,2.0,RT @ISMATKH01427041: @ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt,"['rt', 'user', 'user', 'user', 'user', 'kis', 'madarchod', 'ki', 'he', 'giri', 'hui', 'harkt']",rt us us us us kis madarchod ki he gir hui harkt,rt user user user user kis madarchod ki he giri hui harkt,"Rat user user user user kiss
"
17,34,2.0,@m_sukhwal @aajtak Teri maa Behan ko har rooj chood rahe hai tum khayal rakho .warnna aise hi chudawati rahati hai madarchod.,"['user', 'user', 'teri', 'maa', 'behan', 'ko', 'har', 'rooj', 'chood', 'rahe', 'hai', 'tum', 'khayal', 'rakho', 'warnna', 'aise', 'hi', 'chudawati', 'rahati', 'hai', 'madarchod']",us us ter maa beh ko har rood chood rah hai tum khay rakho warnn ais hi chudawat rahat hai madarchod,user user teri maa behan ko har rooj chood rahe hai tum khayal rakho warnna aise hi chudawati rahati hai madarchod,"User, user is leaving your mother and sister every day, you take care, the description remains like this, madder
"
18,36,2.0,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh Deewar superhit nai aaj ke time ke hisaab se ATBB hai chutye dont compa\xe2\x80\xa6 https://t.co/52ENgEeb67,"['user', 'user', 'user', 'deewar', 'superhit', 'nai', 'aaj', 'ke', 'time', 'ke', 'hisaab', 'se', 'atbb', 'hai', 'chutye', 'do', 'not', 'compaxe2x80xa6', 'url']",us us us deew superhit nai aas ke tim ke hisaab se atb hai chuty do not compaxe2x80xa6 url,user user user deewar superhit nai aaj ke time ke hisaab se atbb hai chutye do not compaxe2x80xa6 url,"User user user wall superhite is according to today's time
"
19,38,1.0,"*Virat and Anushka's future kid*\n\nAnushka: Mamma bolo beta, mammaaaa\n\nKid: Mm.. Ma.. Maa.. Madarchod!","['virat', 'and', 'anushkas', 'future', 'kidnnanushka', 'mamma', 'bolo', 'beta', 'mammaaaannkid', 'mm', 'ma', 'maa', 'madarchod']",vir and anushka fut kidnnanushk mamm bolo bet mammaaaannkid mm ma maa madarchod,virat and anushkas future kidnnanushka mamma bolo beta mammaaaannkid mm ma maa madarchod,"Virat and Anushkaas Future Kidnanushka Mamma Speak Beta Mammaanankeed Mum in Motherhood
"
20,40,1.0,@dasraghubar @narendramodi @AmitShah @BJP4India @BJPLive @BJP4Jharkhand Madarchod brahmno se mafi mango,"['user', 'user', 'user', 'user', 'user', 'user', 'madarchod', 'brahmno', 'se', 'mafi', 'mango']",us us us us us us madarchod brahmno se maf mango,user user user user user user madarchod brahmno se mafi mango,"User user user user user user
"
21,42,2.0,@LmRajpt @imjadeja @RoflGandhi_ Suwar ke bache ..madar chod..Teri maa ki chut me..ghungru bajaunga madarchod...bhar\xe2\x80\xa6 https://t.co/bFTERvXNoQ,"['user', 'user', 'user', 'suwar', 'ke', 'bache', 'madar', 'chodteri', 'maa', 'ki', 'chut', 'meghungru', 'bajaunga', 'madarchodbharxe2x80xa6', 'url']",us us us suw ke bach mad chodter maa ki chut meghungru bajaung madarchodbharxe2x80xa6 url,user user user suwar ke bache madar chodteri maa ki chut meghungru bajaunga madarchodbharxe2x80xa6 url,"User User User Suvar's Mother Mother Chhodteri Mother's Pussy Meghungharu will play Madarchodbharaksi 2x 80x 6 URL
"
22,44,2.0,@HornyGlF Fuck off! Chal bhag yahan se madarchod,"['user', 'fuck', 'off', 'chal', 'bhag', 'yahan', 'se', 'madarchod']",us fuck off chal bhag yah se madarchod,user fuck off chal bhag yahan se madarchod,"User talk of Chaal Bhaag from here
"
23,46,2.0,@LogicalGabbar @imjadeja Teri maa ko our Ben ko chudva sale benchod .... madarchod....Gabbar,"['user', 'user', 'teri', 'maa', 'ko', 'our', 'ben', 'ko', 'chudva', 'sale', 'benchod', 'madarchodgabbar']",us us ter maa ko our ben ko chudv sal benchod madarchodgabb,user user teri maa ko our ben ko chudva sale benchod madarchodgabbar,"User, user, your mother, my friend, I will leave my cell.
"
24,48,2.0,I have to say this madarchod @Twitter @TwitterIndia i created multiple accounts and you locked all accounts &amp,"['i', 'have', 'to', 'say', 'this', 'madarchod', 'user', 'user', 'i', 'created', 'multiple', 'accounts', 'and', 'you', 'locked', 'all', 'accounts']",i hav to say thi madarchod us us i cre multipl account and you lock al account,i have to say this madarchod user user i create multiple account and you lock all account,"i have to say this madarchod user user i create multiple account and you lock all account
"
25,50,2.0,@I_Daredevil @ElahiHiba Ya bakrichod jyada ni uchal rhe h bhosdi vale madarchod\nBawasir c shakal ki h ye\nAnd bhokti\xe2\x80\xa6 https://t.co/zcYFxTLXe5,"['user', 'user', 'ya', 'bakrichod', 'jyada', 'ni', 'uchal', 'rhe', 'h', 'bhosdi', 'vale', 'madarchodnbawasir', 'c', 'shakal', 'ki', 'h', 'yenand', 'bhoktixe2x80xa6', 'url']",us us ya bakrichod jyad ni uch rhe h bhosd val madarchodnbawasir c shak ki h yenand bhoktixe2x80xa6 url,user user ya bakrichod jyada ni uchal rhe h bhosdi vale madarchodnbawasir c shakal ki h yenand bhoktixe2x80xa6 url,"USER or BATCHRICODE are bouncing more and more in the name of bharati's
"
26,52,2.0,@ShankhNaad @SmokingSkills_ @PetaIndia @ChouhanShivraj @PetaIndia kidhar chupe hai re madarchod peta wale gandu log.?,"['user', 'user', 'user', 'user', 'user', 'kidhar', 'chupe', 'hai', 're', 'madarchod', 'peta', 'wale', 'gandu', 'log']",us us us us us kidh chup hai re madarchod pet wal gandu log,user user user user user kidhar chupe hai re madarchod peta wale gandu log,"User, user, user, user, where are the murky people with madhurod peta
"
27,54,2.0,@KRKActor1 tu waha kya kar raha ha madarchod. bahan k lode kaha comarision kar raha ha . tu kaha 1 No ka madarchod\xe2\x80\xa6 https://t.co/m7nBRT1yUR,"['user', 'tu', 'waha', 'kya', 'kar', 'raha', 'ha', 'madarchod', 'bahan', 'k', 'lode', 'kaha', 'comarision', 'kar', 'raha', 'ha', 'tu', 'kaha', 'one', 'no', 'ka', 'madarchodxe2x80xa6', 'url']",us tu wah kya kar rah ha madarchod bah k lod kah comarid kar rah ha tu kah on no ka madarchodxe2x80xa6 url,user tu waha kya kar raha ha madarchod bahan k lode kaha comarision kar raha ha tu kaha one no ka madarchodxe2x80xa6 url,"User what are you doing?
"
28,56,2.0,@matchmyvibe_  madarchod maar dalo,"['user', 'madarchod', 'maar', 'dalo']",us madarchod maar dalo,user madarchod maar dalo,"User Motherchid Mar Daalo
"
29,58,2.0,@jeevanblog1 Isme embarassing kya hai bey madarchod? Ahmedabad commissioner has not given permission to hold a rall\xe2\x80\xa6 https://t.co/G8Vw51FXUA,"['user', 'isme', 'embarassing', 'kya', 'hai', 'bey', 'madarchod', 'ahmedabad', 'commissioner', 'has', 'not', 'given', 'permission', 'to', 'hold', 'a', 'rallxe2x80xa6', 'url']",us ism embarass kya hai bey madarchod ahmedabad commit has not giv permit to hold a rallxe2x80xa6 url,user isme embarassing kya hai bey madarchod ahmedabad commissioner have not give permission to hold a rallxe2x80xa6 url,"user isme embarassing kya hai bey madarchod ahmedabad commissioner have not give permission to hold a rallxe2x80xa6 url
"
30,60,1.0,@NANGI_POOJA Madarchod musalman aaiysha aur wo hai,"['user', 'madarchod', 'musalman', 'aaiysha', 'aur', 'wo', 'hai']",us madarchod musalm aaiysh aur wo hai,user madarchod musalman aaiysha aur wo hai,"User madarchod muslim is aisha and that
"
31,62,2.0,@LmRajpt @imjadeja @RoflGandhi_ Madarchod Randi ke bache ..gali kisko de rha hai...gand phar dunga bharve....bhosrike aukat me reh....,"['user', 'user', 'user', 'madarchod', 'randi', 'ke', 'bache', 'gali', 'kisko', 'de', 'rha', 'haigand', 'phar', 'dunga', 'bharvebhosrike', 'aukat', 'me', 'reh']",us us us madarchod rand ke bach gal kisko de rha haigand phar dung bharvebhosrik auk me reh,user user user madarchod randi ke bache gali kisko de rha haigand phar dunga bharvebhosrike aukat me reh,"Who is giving the street to the user, the user, the user, the son of Madarchod Randi, and stay in the right
"
32,64,2.0,Bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko. https://t.co/2tFNvDDe25,"['bollywoodians', 'are', 'madarchod', 'ye', 'to', 'kai', 'saalon', 'se', 'bata', 'raha', 'hoon', 'main', 'tum', 'logon', 'ko', 'url']",bollywood ar madarchod ye to kai saalon se bat rah hoon main tum logon ko url,bollywoodians be madarchod ye to kai saalon se bata raha hoon main tum logon ko url,"Bollywoods Bay Madarchod, I have been telling you this URL for many years
"
33,66,2.0,@ElCrankoPunko cranko madarchod you unfollowed me tu dekh ab kya karta hun main,"['user', 'cranko', 'madarchod', 'you', 'unfollowed', 'me', 'tu', 'dekh', 'ab', 'kya', 'karta', 'hun', 'main']",us cranko madarchod you unfollow me tu dekh ab kya kart hun main,user cranko madarchod you unfollowed me tu dekh ab kya karta hun main,"You see what I do now in Madarchod Yungfolved
"
34,68,1.0,@M_walim @ICC @imVkohli @AnushkaSharma Teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod,"['user', 'user', 'user', 'user', 'teri', 'ammi', 'ko', 'chodne', 'wala', 'insaan', 'hai', 'ye', 'icc', 'kya', 'pure', 'world', 'isko', 'badhai', 'dekha', 'bc', 'hat', 'mulle', 'madarchod']",us us us us ter amm ko chodn wal insa hai ye icc kya pur world isko badha dekh bc hat mul madarchod,user user user user teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod,"User user user user is the person to leave your mother
"
35,70,2.0,@OfficeOfRG Rafel Deal Rafel Deal Rafel Deal... Tum madarchod Congressio ke raj mai fighter deal kyu nahi hue?? Chu\xe2\x80\xa6 https://t.co/PjvpGURUuz,"['user', 'rafel', 'deal', 'rafel', 'deal', 'rafel', 'deal', 'tum', 'madarchod', 'congressio', 'ke', 'raj', 'mai', 'fighter', 'deal', 'kyu', 'nahi', 'hue', 'chuxe2x80xa6', 'url']",us rafel deal rafel deal rafel deal tum madarchod congressio ke raj mai fight deal kyu nah hue chuxe2x80xa6 url,user rafel deal rafel deal rafel deal tum madarchod congressio ke raj mai fighter deal kyu nahi hue chuxe2x80xa6 url,"User Rafael Deal Rafael Deal Rafael Deal Why did not you make a fighter deal under the rule of Madarchod Congress, Chuxi 2x 80x 6 URL
"
36,72,2.0,"@SaniyaChatterje Saniya, must say you are most madarchod randi on twitter...cum ki pyassi...abtak na jane loundo ne\xe2\x80\xa6 https://t.co/0iFjBqmb3W","['user', 'saniya', 'must', 'say', 'you', 'are', 'most', 'madarchod', 'randi', 'on', 'twittercum', 'ki', 'pyassiabtak', 'na', 'jane', 'loundo', 'nexe2x80xa6', 'url']",us saniy must say you ar most madarchod rand on twitterc ki pyassiabtak na jan loundo nexe2x80xa6 url,user saniya must say you be most madarchod randi on twittercum ki pyassiabtak na jane loundo nexe2x80xa6 url,"user saniya must say you be most madarchod randi on twittercum ki pyassiabtak na jane loundo nexe2x80xa6 url
"
37,74,1.0,"@girishalva @garuna73 I never donate to any madarchod hindu priests, they are chors.","['user', 'user', 'i', 'never', 'donate', 'to', 'any', 'madarchod', 'hindu', 'priests', 'they', 'are', 'chors']",us us i nev don to any madarchod hindu priest they ar chor,user user i never donate to any madarchod hindu priests they be chors,"user user i never donate to any madarchod hindu priests they be chords
"
38,76,2.0,@ManishTewari you madarchod in @incindia screwed Air India and still have audacity to question Government. Kya khate ho aur kya sochte ho \xe2\x80\xa6 https://t.co/2RRcR2QQCd,"['user', 'you', 'madarchod', 'in', 'user', 'screwed', 'air', 'india', 'and', 'still', 'have', 'audacity', 'to', 'question', 'government', 'kya', 'khate', 'ho', 'aur', 'kya', 'sochte', 'ho', 'xe2x80xa6', 'url']",us you madarchod in us screwed air ind and stil hav audac to quest govern kya khat ho aur kya socht ho xe2x80xa6 url,user you madarchod in user screw air india and still have audacity to question government kya khate ho aur kya sochte ho xe2x80xa6 url,"User u madarchod in user screw air india and steel have audacity to question government and what do you think x2x80x6 url
"
39,78,2.0,Is madarchod Sajid Khan ko Jayvijay se kya problem h . Khud ko to kuch aata ni uski performance ko bekar bolta h..\xe2\x80\xa6 https://t.co/dJxNCXHsyh,"['is', 'madarchod', 'sajid', 'khan', 'ko', 'jayvijay', 'se', 'kya', 'problem', 'h', 'khud', 'ko', 'to', 'kuch', 'aata', 'ni', 'uski', 'performance', 'ko', 'bekar', 'bolta', 'hxe2x80xa6', 'url']",is madarchod sajid khan ko jayvijay se kya problem h khud ko to kuch aat ni usk perform ko bek bolt hxe2x80xa6 url,be madarchod sajid khan ko jayvijay se kya problem h khud ko to kuch aata ni uski performance ko bekar bolta hxe2x80xa6 url,"What is the problem with Madhchod Sajid Khan to Jayvijaya, he himself knows something new, his performance is worthless.
"
40,80,2.0,@sanjivbhatt teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa...randi ka aulaaad madarchod,"['user', 'teri', 'maaa', 'ko', 'kuttey', 'se', 'chudwaya', 'tera', 'suwar', 'baaap', 'tab', 'jakar', 'tu', 'madarchod', 'paida', 'huwarandi', 'ka', 'aulaaad', 'madarchod']",us ter maa ko kuttey se chudway ter suw baaap tab jak tu madarchod paid huwarand ka aulaaad madarchod,user teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwarandi ka aulaaad madarchod,"User rescued your mother from your dog
"
41,82,2.0,@Manan_13 @Nirmalogy @BhokalTweet Ambani supporter Madarchod mar ja,"['user', 'user', 'user', 'ambani', 'supporter', 'madarchod', 'mar', 'ja']",us us us amban support madarchod mar ja,user user user ambani supporter madarchod mar ja,"User user user ambani supporter madarchod die
"
42,84,2.0,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....,"['user', 'user', 'user', 'user', 'user', 'bhadva', 'madarchod', 'bhakt']",us us us us us bhadv madarchod bhakt,user user user user user bhadva madarchod bhakt,"User user user user user bhadwa madarachod bhakt
"
43,86,2.0,@updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarch\xe2\x80\xa6 https://t.co/aRTpVwrqw6,"['user', 'user', 'ab', 'usko', 'chhod', 'mjse', 'bat', 'kr', 'tera', 'baap', 'aa', 'gya', 'hai', 'ab', 'to', 'ldki', 'ko', 'beech', 'me', 'q', 'la', 'ra', 'hai', 'madarchxe2x80xa6', 'url']",us us ab usko chhod mjse bat kr ter baap aa gya hai ab to ldki ko beech me q la ra hai madarchxe2x80xa6 url,user user ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai madarchxe2x80xa6 url,"User, user, leave him now, the matter has come to your father, now the girl is in the middle, Madarxi 2 x 80 x 6 URL
"
44,88,2.0,"@Shujaatsays Teri Ammi k sath first inning Virat khela tha, tb tu paida hua, aur tera abbu Abhi us result ka gum mana rha h madarchod \xf0\x9f\xa4\xa3","['user', 'teri', 'ammi', 'k', 'sath', 'first', 'inning', 'virat', 'khela', 'tha', 'tb', 'tu', 'paida', 'hua', 'aur', 'tera', 'abbu', 'abhi', 'us', 'result', 'ka', 'gum', 'mana', 'rha', 'h', 'madarchod', 'xf0x9fxa4xa3']",us ter amm k sath first in vir khel tha tb tu paid hua aur ter abbu abh us result ka gum man rha h madarchod xf0x9fxa4xa3,user teri ammi k sath first inning virat khela tha tb tu paida hua aur tera abbu abhi us result ka gum mana rha h madarchod xf0x9fxa4xa3,"The user played first in Virat with Teri Ammi, when you were born and your father is still celebrating that result Madarchod XFx 9 Fx 4 X 3
"
45,90,2.0,@pbhushan1 @sanjaymanjrekar Oh the madarchod liberal manjrekar retweeted. Bhadwa congress ka dalal.,"['user', 'user', 'oh', 'the', 'madarchod', 'liberal', 'manjrekar', 'retweeted', 'bhadwa', 'congress', 'ka', 'dalal']",us us oh the madarchod lib manjrek retweet bhadw congress ka dal,user user oh the madarchod liberal manjrekar retweeted bhadwa congress ka dalal,"USER user oh the madarchod liberal manjrekar retweeted bhadwa congress broker
"
46,92,2.0,@PiranhaBlowjob Madarchod jalta hai mujhse ?,"['user', 'madarchod', 'jalta', 'hai', 'mujhse']",us madarchod jalt hai mujhs,user madarchod jalta hai mujhse,"User madder burns with me
"
47,94,2.0,"@shailu_CA modi madarchod hai Na, maa ko khara' kar diya note ki line 96 yr old maa. Modi is harami chutiya PM","['user', 'modi', 'madarchod', 'hai', 'na', 'maa', 'ko', 'khara', 'kar', 'diya', 'note', 'ki', 'line', 'ninety-six', 'yr', 'old', 'maa', 'modi', 'is', 'harami', 'chutiya', 'pm']",us mod madarchod hai na maa ko khar kar diy not ki lin ninety-six yr old maa mod is haram chutiy pm,user modi madarchod hai na maa ko khara kar diya note ki line ninety-six yr old maa modi be harami chutiya pm,"User Modi is madar chod and not mother has made the line of note ninety-six your old mother Modi Bay Harami Chutia Pt
"
48,96,2.0,@free_thinker teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa..free mey hi randi devil ko chod\xe2\x80\xa6 https://t.co/5S9CPSLXQK,"['user', 'teri', 'ammi', 'free', 'ki', 'raandi', 'thi', 'madarchod', 'tu', 'free', 'ka', 'thinker', 'paida', 'huwafree', 'mey', 'hi', 'randi', 'devil', 'ko', 'chodxe2x80xa6', 'url']",us ter amm fre ki raand thi madarchod tu fre ka think paid huwafr mey hi rand devil ko chodxe2x80xa6 url,user teri ammi free ki raandi thi madarchod tu free ka thinker paida huwafree mey hi randi devil ko chodxe2x80xa6 url,"User was your mother's free Randi Madurchod Tu free thinker born in the same place, except Randi Devil, 2x 80x 6 URL
"
49,98,2.0,Kutte jite nahi madarchod dusro ko bhi nahi Jeene deti,"['kutte', 'jite', 'nahi', 'madarchod', 'dusro', 'ko', 'bhi', 'nahi', 'jeene', 'deti']",kut jit nah madarchod dusro ko bhi nah jeen det,kutte jite nahi madarchod dusro ko bhi nahi jeene deti,"Dogs don't live
"
