,label,user,tweet,emb,cleaned_tweets,lemmas
10,0,928333319946637312,929437933471281152,"[ 0.00103297  0.00464188  0.0073218  -0.00610694  0.00339223 -0.00477716
  0.00063651  0.00731972 -0.00316241  0.00256317 -0.00332287 -0.00208855
  0.00383182 -0.00452069 -0.00422572  0.00705298 -0.0014903  -0.00412191
 -0.00392079  0.00700393 -0.00036409  0.003614    0.00495381 -0.00699286
 -0.00408988 -0.00061658 -0.00331012 -0.00670957 -0.00164557 -0.006627
 -0.00044364 -0.00700661  0.00294358  0.00087919  0.003315    0.00223307
 -0.00632914  0.0073659  -0.00327183 -0.00451225 -0.00734899  0.00575339
 -0.00307223  0.00584502 -0.00018864 -0.00576906  0.00039635 -0.00068422
  0.00093935  0.00651047 -0.00530751  0.00567468 -0.0007829   0.0024961
 -0.00777077  0.00700361  0.00466349 -0.00423509 -0.00418514  0.00365166
  0.00478637  0.00449002  0.00134699  0.00017382]",<user> <user> aur ye barun ka comeback show tha koi qhahi jahan dekhna hai ke baat hai bhi nahi bhi bhi nahi bhari bhi nahi hai,<user> <user> aur ye barun ka comeback show tha koi q nahi dekhna chahega lekin fir b nahi dekh paye mai shivani ko q hate karu muze uski act nahi achchi lagi jo muze laga wo maine kaha wo mera opinion hai
11,0,143763417,929437528926560256,"[ 0.00091247  0.00049941  0.00330624  0.00426577  0.00535669 -0.00331671
  0.00572827  0.00563839 -0.00670975  0.00286445 -0.00648379 -0.00434221
 -0.0018816  -0.00502646 -0.00136554  0.00200907  0.0076604  -0.00250609
 -0.00011178  0.00426317 -0.0041449   0.00075802  0.00391694  0.00443224
 -0.00142781 -0.00359286 -0.00028607 -0.00219895  0.0058597  -0.00592597
 -0.00329667 -0.00448299  0.00138968  0.00730778 -0.00345078 -0.00665267
 -0.0059806  -0.00489255 -0.00045017 -0.00024639  0.00601448 -0.00577285
 -0.0060413   0.00020043 -0.00635427 -0.00653109 -0.00163186 -0.00358748
 -0.0054425  -0.00568355 -0.00300821  0.00465973 -0.00181917 -0.00726633
 -0.00657726 -0.00566512 -0.00348643  0.00401993  0.00476068  0.0019984
  0.00666333 -0.00265651 -0.00438062  0.0070421 ]",sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ki hi rasta hai sarahad ke lakir ko mita kar hi ye khatam ho sakta hain jinna sahab karun gaye or neharu ji bhi aur fir se kartay hai dono muk ko <user> akhand bharat ek bharat <url>,sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko <user> akhand bharat ek bharat <url>
12,0,2566436641,929431275357716480,"[ 1.8400154e-03  6.5062367e-03  7.6486762e-03 -3.5939098e-03
 -6.5002539e-03  7.3847584e-03  7.5608622e-03 -7.5726137e-03
  3.9454829e-03 -4.3677385e-03 -7.3762177e-03  2.1376414e-03
  3.8925612e-03 -3.5399680e-03  4.4691694e-04  2.5964214e-03
 -5.1284092e-04  8.2427653e-04  3.5914157e-03  6.8332218e-03
 -3.8383091e-03 -1.6621666e-04  1.6683427e-03  4.6549276e-03
 -3.6840443e-03 -6.0914997e-03  4.7294898e-03  1.4947786e-04
  1.3577488e-03  2.2801785e-03  3.9411839e-03  4.9907696e-03
  1.7878336e-04  7.6178778e-03  3.3026258e-03 -4.7353124e-03
  5.6828531e-03  1.7882609e-03 -2.6618831e-03  4.3043955e-03
 -5.7455697e-03 -6.9304340e-04 -6.4401040e-03  4.3326123e-03
  5.3663109e-04 -4.4411034e-03 -3.3735586e-03 -2.4961492e-03
 -5.6432965e-03  4.5463769e-03 -6.7305588e-03  4.6407157e-03
 -2.8319779e-04  7.1213883e-03 -3.5235912e-03 -1.7338335e-03
 -7.7860462e-03 -7.7145295e-03  7.5016832e-03  1.7747567e-03
 -4.3771905e-03 -1.1155064e-03 -2.3654848e-05 -3.0545432e-03]",<User> Good said we had not only seen the show; Some ni just become a mother Hate to Hina,<user> achha bta diya hum n show hi nhi dekha tha khbri krta kuch ni sirf maa bnta h kr hina ko hate
13,1,607225379,929429959713722368,"[-5.667794   -0.5015455   3.2078693  -0.47586644 -4.6647964  -3.836142
  1.0304537   4.70741     5.6354437   0.13535753 -5.1378074  -2.4427335
 -0.7844636   2.4019856   0.25613138  3.5203636  -1.2198112   5.0446086
  1.9857713  -2.151148    5.349924    5.579976    1.5621569  -3.3402467
 -0.09065313  3.7274795  -1.3569787   2.774365   -5.769078   -1.5888631
 -1.8098139  -0.35352767 -3.851424   -2.1742244   3.436327    4.9388633
 -6.7234545  -2.8572373  -0.67841023  1.3813654   1.3611975   0.28160316
  2.1547933  -4.5946207   2.2919347  -0.14504506 -2.237815    1.4743581
  4.783248    1.1594925   4.4809403   0.38903853  0.6350495  -1.6567074
 -0.25272816 -7.2866263   7.653446    2.8559499  -2.0854583   3.1174467
 -1.768328    5.260249    1.9553478   2.1969588 ]",<user> Karachi sent by Agencies Punjabi A katal kareke okki lasine gaawan bhai hine he is the only mohajir kaikhilaf nafrat.,<user> karachi say agencies panjabi pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho
14,1,523595918,929425547024674816,"[ 3.5605404  -2.340416   -5.4290876  -0.36789522  0.670336   -3.5597975
  2.0065536   0.870216   -0.7656723  -1.4285274   2.5793915  -4.412075
  3.1328514  -0.5705522  -1.4980975   1.5155694  -2.121791    1.0288091
 -0.71207994  2.283712   -8.292559    2.4572842   0.03065291 -4.92387
  2.4284964   5.3337255   3.0136406  -2.4708614   2.9755661  -4.3236213
 -2.4095805   0.01860666  0.69694537 -0.87693375 -1.4276804  -4.830313
  1.0970635   0.6083692   2.237289   -6.0764923  -4.144906   -1.5071608
  0.04397444  0.34983456  4.432117   -8.2982235   1.0850855   1.0890226
 -1.4889605  -3.1007335  -4.5194163   2.3011894   4.2004266   3.9247425
  3.9574888  -0.9785215   1.9024467  -2.6544752  -2.6704957  -1.0568435
  0.3552071   5.8926353  -6.198104   -0.9415362 ]","<User> Yes Brother, this is the people's hatred has come to meet for themselves, but that screw this hacker <user> <hashtag>",<user> haa bhai ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai let us screw this haters <user> <hashtag>
15,0,870604225981677568,929425304992358400,"[ 0.00273065  0.00418502 -0.00345423 -0.00333621 -0.00588165 -0.00198081
  0.00545866  0.00200305  0.00046572  0.00103295 -0.00525817  0.00333314
  0.00285734 -0.0019517   0.00597638  0.00091383 -0.00659167 -0.00420579
 -0.00676084 -0.00091394  0.00397201  0.00260525  0.0053925  -0.00614683
  0.00687048  0.00396262 -0.0058165  -0.00706866  0.00381177 -0.00162272
  0.00599107  0.00618782 -0.00545955  0.00776579 -0.00576242  0.00447303
  0.00457823 -0.00420484  0.00086823  0.00121537  0.00138947 -0.00048505
  0.00505778  0.00737725 -0.00032048  0.00497676 -0.00446956 -0.00367332
 -0.00109271 -0.00351349 -0.00171901 -0.00157457 -0.0070177  -0.00523114
  0.00012199  0.00331884 -0.00620593  0.00392266 -0.00216043 -0.00170638
 -0.00202709  0.00494024 -0.00444531  0.00345057]","<user> abe bigg boss show me baki contestants also have a related news item that has been related to the update, they have been able to send hate messages to me, but they have been reinstated as soon as possible.",<user> abe bigg boss show me baki contestants bhi hai un se relate news deta nhisirf sari update hina se relate deta haiwo bhi hate walikhabari hai bakri chabar chabar karta rehta hina k bare me
16,0,924071851365666817,929423187523330050,"[ 2.4373233e-03 -4.8390282e-03  3.3593533e-05 -4.5128590e-03
 -4.5767520e-04 -3.3295425e-03 -1.6288626e-03  5.1252206e-04
  1.3205236e-03 -5.7291528e-03  1.3908753e-03 -6.5906150e-03
  3.9073722e-03 -7.7900745e-04 -5.5034151e-03  1.1330904e-03
 -6.3111647e-03 -6.0694045e-03  5.5363136e-03  4.8718080e-03
 -4.8243408e-03  3.6798222e-03 -7.4445987e-03  5.3027193e-03
  3.4919847e-03  4.0743328e-03  7.1478784e-03 -1.3540150e-03
 -5.8362889e-03 -6.3589970e-03  6.8201693e-03 -7.6691639e-03
 -2.0472680e-03  4.1895793e-03 -7.3615918e-03  4.0148296e-03
 -4.0252125e-03  7.0542260e-03  1.0926373e-03  4.1790263e-04
 -5.4197367e-03 -3.0751391e-03  6.6351052e-03  5.2174549e-03
 -2.8273407e-05 -1.2125159e-03  5.0277580e-03 -4.6774908e-03
 -4.7246004e-03  3.4757867e-03  7.5509562e-03  6.9216229e-03
  6.0814554e-03  1.0803834e-03 -5.2258400e-03 -1.1296697e-03
  2.1403905e-03  7.7273054e-03  7.2796084e-04 -3.8883593e-03
 -3.0366792e-03 -7.2647217e-03 -1.4917554e-03  2.8029820e-03]",Stone Miracle of Hazrat Imam Hussein and the stone from which the blood flows so far <URL> Via <User>,stone miracle of hazrat imam hussain ra wo pathar jis se abhi tak khoon behta hai <url> via <user>
17,0,926030721994461184,929422849814573056,"[-4.7765803e-03 -6.7997994e-03  5.5146730e-03 -7.2038062e-03
  5.8133942e-03  5.2985582e-03 -6.5553235e-03 -4.0100696e-03
 -7.9001713e-04  3.8565602e-03 -5.0611622e-03 -4.6045389e-03
  1.2464701e-04  7.6414235e-03 -6.1601861e-03 -9.7895949e-04
 -3.2211563e-03  7.2455541e-03 -7.7257077e-03  2.7498130e-03
 -2.2183235e-03  4.1050920e-03 -3.8276301e-03  7.8026149e-03
 -5.1460336e-03  4.1265883e-03  2.8161088e-03  7.7920076e-03
 -1.4156149e-03  3.1741157e-03  2.5924677e-03  3.5568650e-03
 -3.8639861e-03 -3.0093563e-03  5.1536402e-03  5.5414126e-03
 -2.1219205e-03 -2.5042130e-03 -3.8923509e-03  5.9577529e-03
  6.9508860e-03 -5.2339523e-03  7.6998547e-03  7.0870137e-03
  5.0678710e-03 -6.9293845e-03 -4.6739224e-03  7.6691606e-03
 -3.4594077e-03 -1.9625050e-03 -7.8266203e-05 -2.7161331e-03
 -3.2462706e-03 -7.1498053e-03  4.5952578e-03  3.4543918e-03
 -1.7221743e-03 -2.8368097e-03  4.6532545e-03 -7.5863730e-03
  6.1341231e-03  3.7197368e-03  5.3453627e-03 -2.1200096e-03]",<User> <User> <User> Pappu's sentence is not less than hanging,<user> <user> <user> pappu ka ye saja phansi se kam nahi
18,0,355108318,929419758407241728,"[ 0.34280685 -1.9077189  -3.028497    0.774999   -4.137968   -1.4719929
  0.9788975  -1.3042599   2.0846202  -2.1216927   5.0283103  -4.4910007
  0.05909815 -1.4913224   4.894497    2.6251016   1.1186522   7.345633
 -0.15710616  0.13327883 -0.31189743 -0.4404877   1.80595    -1.5598494
 -3.8286731   0.9339869  -1.2120781   1.7100503  -0.3768749  -1.8017713
  0.15107049  5.163603    2.8778143   0.30169442 -0.73031497 -0.67763996
 -3.496233    1.2975413   1.4556767  -1.3095468  -2.8495893   0.8543423
  3.1446404  -0.87540966  1.3501227   2.568537   -0.587917    5.4415274
  2.677388    4.1525564   0.3768384  -3.2444606  -1.6518722  -5.1919913
  2.5009124  -1.0763493   4.1575575   0.45815268  0.82748663  1.5463165
 -0.46607682  2.8944728   2.509589    2.1833103 ]",<User> Sir hanged not only robbed money back,<user> sir phansi nahi sirf loot money wapas chaiya
19,1,873872389708275712,929419055995404288,"[ 3.7492020e-03  4.4906237e-03 -4.5961649e-03 -5.0133886e-03
  5.4962407e-03  2.8945510e-03  1.8061650e-03 -1.4664249e-03
  3.0018223e-04 -2.2315502e-04  3.0551769e-03  2.2643688e-03
 -7.2610145e-03  7.4007558e-03  1.2705179e-03 -5.7903873e-03
  4.9409508e-03  5.0035971e-03  3.8329037e-03 -4.5263791e-03
 -2.8629152e-03 -2.0396276e-03 -2.1262697e-03  3.7604528e-03
 -7.0595276e-03  1.2894613e-03  3.4028995e-03 -6.8925426e-04
 -4.9906508e-03  8.9361722e-04 -2.4974288e-03 -6.7443713e-03
  6.0696099e-03  1.5885333e-03 -7.0036124e-03  1.7949177e-03
  3.9724223e-03  4.3249982e-03 -5.8202557e-03  7.7055516e-03
 -5.5072928e-04 -4.8720562e-03 -4.8857559e-03 -1.1991940e-03
 -3.2580036e-03  2.2667197e-03 -6.1091897e-03  2.5252437e-03
 -2.0527299e-03 -1.5120228e-03 -7.7313865e-03  2.7452275e-04
 -4.8289099e-03 -8.5762549e-05 -6.3727945e-03 -5.7778512e-03
  4.0607648e-03 -4.8868433e-03 -6.3316403e-03  6.0306326e-03
 -2.0145769e-03 -7.1558021e-03 -2.8189016e-03  4.9150893e-03]","<user> bhai ye log honour kill mein vishwas rakhne wah hu kheud kheud ke dhen raat chedege ke bahan ke bahan kheen hai, I have also tried to kill the person who has been murdered.",<user> bhai ye log honour kill mein vishwas rakhne walo me se hain khud dusri ki beheno ko din raat chedege kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain
20,0,908298131644837888,929419055802540037,"[ 6.8267547e-03 -6.4934688e-03  7.4913306e-03 -4.7388519e-04
 -1.4990256e-03 -4.4089986e-04  3.2219794e-03 -1.2493222e-05
 -7.5101515e-04  2.2790667e-03 -2.2054652e-03 -7.4448017e-03
 -3.1262122e-03 -4.9503613e-04  3.2645924e-04 -7.2657238e-03
  2.0274962e-03 -9.8930893e-04  5.7912152e-03 -4.1054967e-03
  4.8025153e-03  7.0258472e-03 -2.1072987e-03  4.5100306e-03
  5.4720421e-03  2.1469172e-03  3.6114163e-03 -7.5282739e-03
  5.7934704e-03 -5.1849089e-03  4.0935394e-03 -2.3936040e-03
  5.8332076e-03  1.9369036e-04 -2.3635952e-03 -5.0593843e-03
  5.0139049e-04  4.3027573e-03 -4.0206704e-03 -5.3380108e-03
  5.7551228e-03 -1.5448449e-03 -5.4243053e-03 -3.4751410e-03
 -2.4054982e-03  3.5667496e-03  7.0897085e-03  2.2313425e-03
 -1.4285243e-03  1.4612459e-03 -4.5950706e-03 -4.1712457e-03
 -1.4231087e-03 -2.8764983e-03 -3.1516305e-03 -7.1588559e-03
 -7.7485167e-03  7.1902451e-04 -5.9728650e-03  3.0359835e-03
 -4.5189364e-03  5.0396784e-03  6.7053130e-04  6.2372093e-03]",<User> <User> <User> You Never Ever Hated America's Brokerage,<user> <user> <user> aap log kabhi america ki dalali karto kabhi nafrat
21,0,281120711,929417588471316481,"[ 2.9535625   5.32292    -0.8595792   0.88639665 -0.14968173 -2.6594946
 -2.0817566   0.39811245 -5.538027   -0.79429466 -0.93772423  1.999512
 -1.8509246  -0.53656155 -1.8925178  -0.13701841  4.912984    2.2546344
 -0.04560029  1.2768753  -3.7538142  -0.5647036  -2.582972    1.3901469
  4.6654325   1.1080172   3.7089612  -1.6927501   0.13979578 -1.3748845
 -1.5245016  -0.4917417  -1.4958407   0.96895534  3.189437   -2.247205
 -2.6833718  -1.7790642  -1.909929    0.17530367 -0.36116368 -0.3142728
  2.9240994  -2.9510205  -3.4908295  -1.5523624  -1.3915296   1.41837
 -0.32857254  0.02936282 -1.115094   -1.6483057  -0.5591041  -0.7997721
 -1.9809768   0.75595546 -0.66508293  0.79388016 -3.4352024  -0.36903352
  1.6160096   2.7950017  -3.3933792   0.24607769]","If it is called Love, then what will we do with what hay <user> <user> <url>",agar isse love kehte toh hum jo karte usse kya hate <user> <user> <url>
